"date","category","disp_desc","n"
2017-05-22,"Documentation Only/Miscellaneous","Service",3
2017-05-22,"Drug/Alcohol","Report Taken",1
2017-05-22,"Mental Health/Welfare","Service",2
2017-05-22,"Nuisance/Code Enforcement","Service",2
2017-05-22,"Nuisance/Code Enforcement","Unable to Locate",1
2017-05-22,"Officer-Initiated Contact","Advised",5
2017-05-22,"Officer-Initiated Contact","Cancelled by RP",1
2017-05-22,"Officer-Initiated Contact","Cited",11
2017-05-22,"Officer-Initiated Contact","Service",18
2017-05-22,"Patrol Response for Assessment","Cancelled by RP",4
2017-05-22,"Patrol Response for Assessment","Cited",1
2017-05-22,"Patrol Response for Assessment","Referred",1
2017-05-22,"Patrol Response for Assessment","Report Taken",1
2017-05-22,"Patrol Response for Assessment","Service",17
2017-05-22,"Property Theft/Destruction/Lost","MORF",3
2017-05-22,"Property Theft/Destruction/Lost","Online Crime Report",9
2017-05-22,"Property Theft/Destruction/Lost","Report Taken",4
2017-05-22,"Property Theft/Destruction/Lost","Service",8
2017-05-22,"Suspicious Activity","Arrest Made",1
2017-05-22,"Suspicious Activity","Cancelled by RP",2
2017-05-22,"Suspicious Activity","Service",4
2017-05-22,"Suspicious Activity","Unable to Locate",3
2017-05-22,"Traffic/Major Safety","Referred",1
2017-05-22,"Traffic/Minor Vehicle Violations or Issues","Cancelled by RP",1
2017-05-22,"Traffic/Minor Vehicle Violations or Issues","Service",10
2017-05-22,"Traffic/Minor Vehicle Violations or Issues","Unable to Locate",1
2017-05-22,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",1
2017-05-22,"Violent Crime/Abuse or Neglect/Public Safety","Service",3
2017-05-22,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",2
2017-05-23,"Documentation Only/Miscellaneous","Service",5
2017-05-23,"Drug/Alcohol","Arrest Made",1
2017-05-23,"Mental Health/Welfare","Arrest Made",1
2017-05-23,"Nuisance/Code Enforcement","Advised",2
2017-05-23,"Nuisance/Code Enforcement","Service",30
2017-05-23,"Nuisance/Code Enforcement","Unfounded",1
2017-05-23,"Officer-Initiated Contact","Advised",5
2017-05-23,"Officer-Initiated Contact","Arrest Made",1
2017-05-23,"Officer-Initiated Contact","Cited",4
2017-05-23,"Officer-Initiated Contact","Service",8
2017-05-23,"Patrol Response for Assessment","Advised",5
2017-05-23,"Patrol Response for Assessment","Cancelled by RP",5
2017-05-23,"Patrol Response for Assessment","Referred",3
2017-05-23,"Patrol Response for Assessment","Report Taken",1
2017-05-23,"Patrol Response for Assessment","Service",13
2017-05-23,"Patrol Response for Assessment","Unable to Locate",2
2017-05-23,"Property Theft/Destruction/Lost","Report Taken",1
2017-05-23,"Property Theft/Destruction/Lost","Service",4
2017-05-23,"Required Other Agency/Department Response","Referred",1
2017-05-23,"Required Other Agency/Department Response","Service",1
2017-05-23,"Suspicious Activity","Cancelled by RP",4
2017-05-23,"Suspicious Activity","False Alarm",1
2017-05-23,"Suspicious Activity","Service",4
2017-05-23,"Suspicious Activity","Unable to Locate",4
2017-05-23,"Traffic/Major Safety","Report Taken",1
2017-05-23,"Traffic/Major Safety","Service",1
2017-05-23,"Traffic/Minor Vehicle Violations or Issues","Cited",1
2017-05-23,"Traffic/Minor Vehicle Violations or Issues","Service",10
2017-05-23,"Traffic/Minor Vehicle Violations or Issues","Unfounded",1
2017-05-23,"Violent Crime/Abuse or Neglect/Public Safety","Advised",2
2017-05-23,"Violent Crime/Abuse or Neglect/Public Safety","Arrest Made",2
2017-05-23,"Violent Crime/Abuse or Neglect/Public Safety","Cancelled by RP",3
2017-05-23,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",2
2017-05-23,"Violent Crime/Abuse or Neglect/Public Safety","Service",1
2017-05-24,"Documentation Only/Miscellaneous","Referred",3
2017-05-24,"Documentation Only/Miscellaneous","Service",2
2017-05-24,"Drug/Alcohol","Advised",1
2017-05-24,"Drug/Alcohol","Service",1
2017-05-24,"Mental Health/Welfare","Advised",2
2017-05-24,"Mental Health/Welfare","Service",2
2017-05-24,"Mental Health/Welfare","Unable to Locate",1
2017-05-24,"Nuisance/Code Enforcement","Cancelled by RP",1
2017-05-24,"Nuisance/Code Enforcement","Referred",5
2017-05-24,"Nuisance/Code Enforcement","Service",7
2017-05-24,"Officer-Initiated Contact","Advised",5
2017-05-24,"Officer-Initiated Contact","Cancelled by RP",1
2017-05-24,"Officer-Initiated Contact","Cited",9
2017-05-24,"Officer-Initiated Contact","Service",18
2017-05-24,"Patrol Response for Assessment","Advised",1
2017-05-24,"Patrol Response for Assessment","Arrest Made",1
2017-05-24,"Patrol Response for Assessment","Cancelled by RP",2
2017-05-24,"Patrol Response for Assessment","Incident Number Given",1
2017-05-24,"Patrol Response for Assessment","Referred",3
2017-05-24,"Patrol Response for Assessment","Service",27
2017-05-24,"Patrol Response for Assessment","Unable to Locate",2
2017-05-24,"Patrol Response for Assessment","Unfounded",2
2017-05-24,"Property Theft/Destruction/Lost","Online Crime Report",7
2017-05-24,"Property Theft/Destruction/Lost","Report Taken",4
2017-05-24,"Property Theft/Destruction/Lost","Service",9
2017-05-24,"Suspicious Activity","Advised",1
2017-05-24,"Suspicious Activity","Cancelled by RP",3
2017-05-24,"Suspicious Activity","False Alarm",1
2017-05-24,"Suspicious Activity","Service",4
2017-05-24,"Suspicious Activity","Unable to Locate",2
2017-05-24,"Traffic/Major Safety","Referred",2
2017-05-24,"Traffic/Major Safety","Service",2
2017-05-24,"Traffic/Major Safety","Unable to Locate",1
2017-05-24,"Traffic/Minor Vehicle Violations or Issues","Advised",1
2017-05-24,"Traffic/Minor Vehicle Violations or Issues","Cancelled by RP",1
2017-05-24,"Traffic/Minor Vehicle Violations or Issues","Incident Number Given",1
2017-05-24,"Traffic/Minor Vehicle Violations or Issues","Service",6
2017-05-24,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2017-05-25,"Documentation Only/Miscellaneous","Service",9
2017-05-25,"Drug/Alcohol","Service",2
2017-05-25,"Mental Health/Welfare","Referred",1
2017-05-25,"Mental Health/Welfare","Report Taken",1
2017-05-25,"Mental Health/Welfare","Service",2
2017-05-25,"Mental Health/Welfare","Unable to Locate",2
2017-05-25,"Nuisance/Code Enforcement","Referred",4
2017-05-25,"Nuisance/Code Enforcement","Service",12
2017-05-25,"Officer-Initiated Contact","Advised",6
2017-05-25,"Officer-Initiated Contact","Arrest Made",3
2017-05-25,"Officer-Initiated Contact","Cited",1
2017-05-25,"Officer-Initiated Contact","Report Taken",1
2017-05-25,"Officer-Initiated Contact","Service",28
2017-05-25,"Patrol Response for Assessment","Advised",1
2017-05-25,"Patrol Response for Assessment","Cancelled by RP",3
2017-05-25,"Patrol Response for Assessment","Civil Problem",1
2017-05-25,"Patrol Response for Assessment","Referred",2
2017-05-25,"Patrol Response for Assessment","Report Taken",1
2017-05-25,"Patrol Response for Assessment","Service",30
2017-05-25,"Patrol Response for Assessment","Unable to Locate",3
2017-05-25,"Property Theft/Destruction/Lost","Advised",3
2017-05-25,"Property Theft/Destruction/Lost","Report Taken",4
2017-05-25,"Suspicious Activity","Advised",1
2017-05-25,"Suspicious Activity","Arrest Made",1
2017-05-25,"Suspicious Activity","False Alarm",2
2017-05-25,"Suspicious Activity","Service",1
2017-05-25,"Suspicious Activity","Unable to Locate",1
2017-05-25,"Traffic/Major Safety","Cancelled by RP",1
2017-05-25,"Traffic/Minor Vehicle Violations or Issues","Cited",3
2017-05-25,"Traffic/Minor Vehicle Violations or Issues","Referred",1
2017-05-25,"Traffic/Minor Vehicle Violations or Issues","Report Taken",1
2017-05-25,"Traffic/Minor Vehicle Violations or Issues","Service",12
2017-05-25,"Traffic/Minor Vehicle Violations or Issues","Unable to Locate",2
2017-05-25,"Violent Crime/Abuse or Neglect/Public Safety","Arrest Made",1
2017-05-25,"Violent Crime/Abuse or Neglect/Public Safety","Cancelled by RP",1
2017-05-25,"Violent Crime/Abuse or Neglect/Public Safety","False Alarm",1
2017-05-25,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",1
2017-05-26,"Documentation Only/Miscellaneous","Advised",1
2017-05-26,"Documentation Only/Miscellaneous","Service",2
2017-05-26,"Mental Health/Welfare","Advised",1
2017-05-26,"Mental Health/Welfare","Unable to Locate",3
2017-05-26,"Nuisance/Code Enforcement","Cited",1
2017-05-26,"Nuisance/Code Enforcement","Referred",5
2017-05-26,"Nuisance/Code Enforcement","Service",1
2017-05-26,"Nuisance/Code Enforcement","Unable to Locate",1
2017-05-26,"Officer-Initiated Contact","Cited",2
2017-05-26,"Officer-Initiated Contact","Service",9
2017-05-26,"Patrol Response for Assessment","Advised",2
2017-05-26,"Patrol Response for Assessment","Arrest Made",2
2017-05-26,"Patrol Response for Assessment","Cancelled by RP",3
2017-05-26,"Patrol Response for Assessment","Referred",3
2017-05-26,"Patrol Response for Assessment","Report Taken",1
2017-05-26,"Patrol Response for Assessment","Service",21
2017-05-26,"Patrol Response for Assessment","Unable to Locate",1
2017-05-26,"Property Theft/Destruction/Lost","Arrest Made",1
2017-05-26,"Property Theft/Destruction/Lost","Cancelled by RP",1
2017-05-26,"Property Theft/Destruction/Lost","Civil Problem",1
2017-05-26,"Property Theft/Destruction/Lost","Incident Number Given",1
2017-05-26,"Property Theft/Destruction/Lost","Report Taken",6
2017-05-26,"Property Theft/Destruction/Lost","Service",3
2017-05-26,"Required Other Agency/Department Response","Referred",2
2017-05-26,"Suspicious Activity","Cancelled by RP",1
2017-05-26,"Suspicious Activity","Service",5
2017-05-26,"Suspicious Activity","Unable to Locate",1
2017-05-26,"Traffic/Major Safety","Service",1
2017-05-26,"Traffic/Minor Vehicle Violations or Issues","Cancelled by RP",3
2017-05-26,"Traffic/Minor Vehicle Violations or Issues","Incident Number Given",1
2017-05-26,"Traffic/Minor Vehicle Violations or Issues","Service",9
2017-05-26,"Traffic/Minor Vehicle Violations or Issues","Unable to Locate",1
2017-05-26,"Violent Crime/Abuse or Neglect/Public Safety","Arrest Made",1
2017-05-26,"Violent Crime/Abuse or Neglect/Public Safety","Civil Problem",1
2017-05-26,"Violent Crime/Abuse or Neglect/Public Safety","Service",2
2017-05-26,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2017-05-27,"Documentation Only/Miscellaneous","Service",1
2017-05-27,"Drug/Alcohol","Arrest Made",1
2017-05-27,"Mental Health/Welfare","Service",2
2017-05-27,"Nuisance/Code Enforcement","Cancelled by RP",1
2017-05-27,"Nuisance/Code Enforcement","Service",2
2017-05-27,"Officer-Initiated Contact","Advised",5
2017-05-27,"Officer-Initiated Contact","Cited",1
2017-05-27,"Officer-Initiated Contact","Service",13
2017-05-27,"Patrol Response for Assessment","Advised",3
2017-05-27,"Patrol Response for Assessment","Cancelled by RP",6
2017-05-27,"Patrol Response for Assessment","Referred",2
2017-05-27,"Patrol Response for Assessment","Service",18
2017-05-27,"Patrol Response for Assessment","Unable to Locate",1
2017-05-27,"Property Theft/Destruction/Lost","Cancelled by RP",1
2017-05-27,"Property Theft/Destruction/Lost","Service",2
2017-05-27,"Required Other Agency/Department Response","Referred",1
2017-05-27,"Required Other Agency/Department Response","Service",1
2017-05-27,"Required Other Agency/Department Response","Unfounded",1
2017-05-27,"Suspicious Activity","Advised",1
2017-05-27,"Suspicious Activity","Cancelled by RP",3
2017-05-27,"Suspicious Activity","Report Taken",1
2017-05-27,"Suspicious Activity","Service",3
2017-05-27,"Suspicious Activity","Unable to Locate",3
2017-05-27,"Suspicious Activity","Unfounded",1
2017-05-27,"Traffic/Major Safety","Service",3
2017-05-27,"Traffic/Minor Vehicle Violations or Issues","Referred",2
2017-05-27,"Traffic/Minor Vehicle Violations or Issues","Service",3
2017-05-27,"Violent Crime/Abuse or Neglect/Public Safety","Arrest Made",1
2017-05-27,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",2
2017-05-27,"Violent Crime/Abuse or Neglect/Public Safety","Service",6
2017-05-27,"Violent Crime/Abuse or Neglect/Public Safety","Unfounded",1
2017-05-28,"Drug/Alcohol","Unable to Locate",1
2017-05-28,"Mental Health/Welfare","Advised",1
2017-05-28,"Mental Health/Welfare","Service",3
2017-05-28,"Mental Health/Welfare","Unable to Locate",1
2017-05-28,"Nuisance/Code Enforcement","Advised",2
2017-05-28,"Nuisance/Code Enforcement","Referred",2
2017-05-28,"Nuisance/Code Enforcement","Service",2
2017-05-28,"Officer-Initiated Contact","Advised",13
2017-05-28,"Officer-Initiated Contact","Cited",3
2017-05-28,"Officer-Initiated Contact","Report Taken",1
2017-05-28,"Officer-Initiated Contact","Service",12
2017-05-28,"Officer-Initiated Contact","Unable to Locate",1
2017-05-28,"Patrol Response for Assessment","Advised",3
2017-05-28,"Patrol Response for Assessment","Cancelled by RP",1
2017-05-28,"Patrol Response for Assessment","Referred",1
2017-05-28,"Patrol Response for Assessment","Report Taken",1
2017-05-28,"Patrol Response for Assessment","Service",20
2017-05-28,"Patrol Response for Assessment","Unable to Locate",1
2017-05-28,"Property Theft/Destruction/Lost","Report Taken",4
2017-05-28,"Property Theft/Destruction/Lost","Service",2
2017-05-28,"Required Other Agency/Department Response","Service",1
2017-05-28,"Suspicious Activity","False Alarm",1
2017-05-28,"Suspicious Activity","Report Taken",1
2017-05-28,"Suspicious Activity","Service",1
2017-05-28,"Suspicious Activity","Unable to Locate",3
2017-05-28,"Traffic/Major Safety","Unable to Locate",1
2017-05-28,"Traffic/Minor Vehicle Violations or Issues","Referred",2
2017-05-28,"Traffic/Minor Vehicle Violations or Issues","Service",3
2017-05-28,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",1
2017-05-28,"Violent Crime/Abuse or Neglect/Public Safety","Service",2
2017-05-28,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",2
2017-05-29,"Documentation Only/Miscellaneous","Advised",2
2017-05-29,"Documentation Only/Miscellaneous","Service",2
2017-05-29,"Mental Health/Welfare","Service",5
2017-05-29,"Mental Health/Welfare","Unable to Locate",1
2017-05-29,"Nuisance/Code Enforcement","Referred",1
2017-05-29,"Nuisance/Code Enforcement","Service",4
2017-05-29,"Officer-Initiated Contact","Advised",5
2017-05-29,"Officer-Initiated Contact","Cited",8
2017-05-29,"Officer-Initiated Contact","Service",15
2017-05-29,"Patrol Response for Assessment","Advised",3
2017-05-29,"Patrol Response for Assessment","Arrest Made",1
2017-05-29,"Patrol Response for Assessment","Cancelled by RP",2
2017-05-29,"Patrol Response for Assessment","Report Taken",1
2017-05-29,"Patrol Response for Assessment","Service",23
2017-05-29,"Patrol Response for Assessment","Unable to Locate",1
2017-05-29,"Property Theft/Destruction/Lost","Report Taken",1
2017-05-29,"Property Theft/Destruction/Lost","Service",1
2017-05-29,"Suspicious Activity","Cancelled by RP",2
2017-05-29,"Suspicious Activity","False Alarm",2
2017-05-29,"Suspicious Activity","Service",6
2017-05-29,"Suspicious Activity","Unable to Locate",4
2017-05-29,"Traffic/Major Safety","Unable to Locate",2
2017-05-29,"Traffic/Minor Vehicle Violations or Issues","Referred",2
2017-05-29,"Traffic/Minor Vehicle Violations or Issues","Service",2
2017-05-29,"Traffic/Minor Vehicle Violations or Issues","Unfounded",1
2017-05-29,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",2
2017-05-29,"Violent Crime/Abuse or Neglect/Public Safety","Service",3
2017-05-30,"Documentation Only/Miscellaneous","Referred",4
2017-05-30,"Documentation Only/Miscellaneous","Report Taken",2
2017-05-30,"Documentation Only/Miscellaneous","Service",6
2017-05-30,"Drug/Alcohol","Unable to Locate",3
2017-05-30,"Mental Health/Welfare","Cancelled by RP",1
2017-05-30,"Mental Health/Welfare","Service",2
2017-05-30,"Mental Health/Welfare","Unable to Locate",1
2017-05-30,"Nuisance/Code Enforcement","Advised",2
2017-05-30,"Nuisance/Code Enforcement","Referred",2
2017-05-30,"Nuisance/Code Enforcement","Service",6
2017-05-30,"Nuisance/Code Enforcement","Unable to Locate",1
2017-05-30,"Officer-Initiated Contact","Advised",8
2017-05-30,"Officer-Initiated Contact","Arrest Made",2
2017-05-30,"Officer-Initiated Contact","Cited",4
2017-05-30,"Officer-Initiated Contact","Service",16
2017-05-30,"Patrol Response for Assessment","Advised",3
2017-05-30,"Patrol Response for Assessment","Cancelled by RP",6
2017-05-30,"Patrol Response for Assessment","Referred",1
2017-05-30,"Patrol Response for Assessment","Report Taken",3
2017-05-30,"Patrol Response for Assessment","Service",23
2017-05-30,"Patrol Response for Assessment","Unable to Locate",3
2017-05-30,"Property Theft/Destruction/Lost","MORF",3
2017-05-30,"Property Theft/Destruction/Lost","Online Crime Report",9
2017-05-30,"Property Theft/Destruction/Lost","Report Taken",9
2017-05-30,"Property Theft/Destruction/Lost","Service",4
2017-05-30,"Required Other Agency/Department Response","Service",1
2017-05-30,"Suspicious Activity","Cancelled by RP",4
2017-05-30,"Suspicious Activity","False Alarm",1
2017-05-30,"Suspicious Activity","Service",3
2017-05-30,"Traffic/Major Safety","Incident Number Given",1
2017-05-30,"Traffic/Major Safety","Service",3
2017-05-30,"Traffic/Minor Vehicle Violations or Issues","Cancelled by RP",1
2017-05-30,"Traffic/Minor Vehicle Violations or Issues","Referred",1
2017-05-30,"Traffic/Minor Vehicle Violations or Issues","Report Taken",1
2017-05-30,"Traffic/Minor Vehicle Violations or Issues","Service",10
2017-05-30,"Traffic/Minor Vehicle Violations or Issues","Unable to Locate",1
2017-05-30,"Violent Crime/Abuse or Neglect/Public Safety","Arrest Made",1
2017-05-30,"Violent Crime/Abuse or Neglect/Public Safety","Cancelled by RP",1
2017-05-30,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",2
2017-05-30,"Violent Crime/Abuse or Neglect/Public Safety","Service",1
2017-05-30,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2017-05-31,"Documentation Only/Miscellaneous","Report Taken",3
2017-05-31,"Documentation Only/Miscellaneous","Service",4
2017-05-31,"Drug/Alcohol","Service",1
2017-05-31,"Mental Health/Welfare","Report Taken",1
2017-05-31,"Mental Health/Welfare","Service",2
2017-05-31,"Nuisance/Code Enforcement","Advised",1
2017-05-31,"Nuisance/Code Enforcement","Report Taken",1
2017-05-31,"Nuisance/Code Enforcement","Service",15
2017-05-31,"Officer-Initiated Contact","Advised",2
2017-05-31,"Officer-Initiated Contact","Arrest Made",1
2017-05-31,"Officer-Initiated Contact","Cited",4
2017-05-31,"Officer-Initiated Contact","Service",30
2017-05-31,"Patrol Response for Assessment","Advised",5
2017-05-31,"Patrol Response for Assessment","Arrest Made",1
2017-05-31,"Patrol Response for Assessment","Cancelled by RP",6
2017-05-31,"Patrol Response for Assessment","Referred",1
2017-05-31,"Patrol Response for Assessment","Report Taken",2
2017-05-31,"Patrol Response for Assessment","Service",41
2017-05-31,"Patrol Response for Assessment","Unable to Locate",2
2017-05-31,"Property Theft/Destruction/Lost","Online Crime Report",3
2017-05-31,"Property Theft/Destruction/Lost","Report Taken",4
2017-05-31,"Property Theft/Destruction/Lost","Service",2
2017-05-31,"Required Other Agency/Department Response","Referred",1
2017-05-31,"Suspicious Activity","Cancelled by RP",3
2017-05-31,"Suspicious Activity","Service",5
2017-05-31,"Suspicious Activity","Unable to Locate",2
2017-05-31,"Suspicious Activity","Unfounded",1
2017-05-31,"Traffic/Major Safety","Service",1
2017-05-31,"Traffic/Minor Vehicle Violations or Issues","Cited",1
2017-05-31,"Traffic/Minor Vehicle Violations or Issues","Incident Number Given",1
2017-05-31,"Traffic/Minor Vehicle Violations or Issues","Service",4
2017-05-31,"Violent Crime/Abuse or Neglect/Public Safety","Service",3
2017-05-31,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2017-06-01,"Documentation Only/Miscellaneous","Report Taken",1
2017-06-01,"Documentation Only/Miscellaneous","Service",9
2017-06-01,"Drug/Alcohol","Service",1
2017-06-01,"Mental Health/Welfare","Cancelled by RP",1
2017-06-01,"Mental Health/Welfare","Service",3
2017-06-01,"Mental Health/Welfare","Unable to Locate",1
2017-06-01,"Nuisance/Code Enforcement","Advised",2
2017-06-01,"Nuisance/Code Enforcement","Service",1
2017-06-01,"Officer-Initiated Contact","Advised",8
2017-06-01,"Officer-Initiated Contact","Arrest Made",1
2017-06-01,"Officer-Initiated Contact","Cited",5
2017-06-01,"Officer-Initiated Contact","Report Taken",2
2017-06-01,"Officer-Initiated Contact","Service",29
2017-06-01,"Patrol Response for Assessment","Advised",6
2017-06-01,"Patrol Response for Assessment","Cancelled by RP",5
2017-06-01,"Patrol Response for Assessment","Civil Problem",1
2017-06-01,"Patrol Response for Assessment","Referred",1
2017-06-01,"Patrol Response for Assessment","Service",27
2017-06-01,"Patrol Response for Assessment","Unable to Locate",2
2017-06-01,"Property Theft/Destruction/Lost","Cancelled by RP",2
2017-06-01,"Property Theft/Destruction/Lost","Report Taken",4
2017-06-01,"Property Theft/Destruction/Lost","Service",2
2017-06-01,"Required Other Agency/Department Response","Advised",1
2017-06-01,"Suspicious Activity","False Alarm",2
2017-06-01,"Suspicious Activity","Service",2
2017-06-01,"Suspicious Activity","Unable to Locate",1
2017-06-01,"Traffic/Major Safety","Report Taken",1
2017-06-01,"Traffic/Major Safety","Service",1
2017-06-01,"Traffic/Minor Vehicle Violations or Issues","Advised",1
2017-06-01,"Traffic/Minor Vehicle Violations or Issues","Service",4
2017-06-01,"Violent Crime/Abuse or Neglect/Public Safety","Advised",2
2017-06-01,"Violent Crime/Abuse or Neglect/Public Safety","Cancelled by RP",1
2017-06-01,"Violent Crime/Abuse or Neglect/Public Safety","Referred",1
2017-06-01,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",2
2017-06-01,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",1
2017-06-02,"Documentation Only/Miscellaneous","Referred",1
2017-06-02,"Documentation Only/Miscellaneous","Service",3
2017-06-02,"Drug/Alcohol","Unable to Locate",2
2017-06-02,"Mental Health/Welfare","Advised",1
2017-06-02,"Mental Health/Welfare","Arrest Made",1
2017-06-02,"Mental Health/Welfare","Cancelled by RP",1
2017-06-02,"Mental Health/Welfare","Service",4
2017-06-02,"Mental Health/Welfare","Unable to Locate",1
2017-06-02,"Nuisance/Code Enforcement","Advised",4
2017-06-02,"Nuisance/Code Enforcement","Cancelled by RP",1
2017-06-02,"Nuisance/Code Enforcement","Referred",2
2017-06-02,"Nuisance/Code Enforcement","Service",5
2017-06-02,"Nuisance/Code Enforcement","Unable to Locate",2
2017-06-02,"Officer-Initiated Contact","Advised",6
2017-06-02,"Officer-Initiated Contact","Arrest Made",1
2017-06-02,"Officer-Initiated Contact","Cited",5
2017-06-02,"Officer-Initiated Contact","Service",18
2017-06-02,"Patrol Response for Assessment","Advised",2
2017-06-02,"Patrol Response for Assessment","Cancelled by RP",8
2017-06-02,"Patrol Response for Assessment","Referred",1
2017-06-02,"Patrol Response for Assessment","Report Taken",1
2017-06-02,"Patrol Response for Assessment","Service",50
2017-06-02,"Patrol Response for Assessment","Unable to Locate",1
2017-06-02,"Property Theft/Destruction/Lost","Arrest Made",1
2017-06-02,"Property Theft/Destruction/Lost","Incident Number Given",1
2017-06-02,"Property Theft/Destruction/Lost","Report Taken",1
2017-06-02,"Property Theft/Destruction/Lost","Service",1
2017-06-02,"Required Other Agency/Department Response","Referred",1
2017-06-02,"Suspicious Activity","Cancelled by RP",1
2017-06-02,"Suspicious Activity","False Alarm",1
2017-06-02,"Suspicious Activity","Report Taken",1
2017-06-02,"Suspicious Activity","Service",8
2017-06-02,"Suspicious Activity","Unable to Locate",1
2017-06-02,"Traffic/Major Safety","Report Taken",1
2017-06-02,"Traffic/Major Safety","Service",1
2017-06-02,"Traffic/Major Safety","Unable to Locate",2
2017-06-02,"Traffic/Minor Vehicle Violations or Issues","Advised",1
2017-06-02,"Traffic/Minor Vehicle Violations or Issues","Cancelled by RP",1
2017-06-02,"Traffic/Minor Vehicle Violations or Issues","Cited",1
2017-06-02,"Traffic/Minor Vehicle Violations or Issues","Referred",1
2017-06-02,"Traffic/Minor Vehicle Violations or Issues","Service",3
2017-06-02,"Traffic/Minor Vehicle Violations or Issues","Unfounded",1
2017-06-02,"Violent Crime/Abuse or Neglect/Public Safety","Advised",2
2017-06-02,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",1
2017-06-03,"Documentation Only/Miscellaneous","Service",2
2017-06-03,"Drug/Alcohol","Unable to Locate",1
2017-06-03,"Mental Health/Welfare","Service",2
2017-06-03,"Nuisance/Code Enforcement","Advised",8
2017-06-03,"Nuisance/Code Enforcement","Referred",2
2017-06-03,"Nuisance/Code Enforcement","Service",3
2017-06-03,"Nuisance/Code Enforcement","Unable to Locate",5
2017-06-03,"Officer-Initiated Contact","Advised",6
2017-06-03,"Officer-Initiated Contact","Arrest Made",1
2017-06-03,"Officer-Initiated Contact","Cited",6
2017-06-03,"Officer-Initiated Contact","Service",20
2017-06-03,"Patrol Response for Assessment","Advised",2
2017-06-03,"Patrol Response for Assessment","Cancelled by RP",2
2017-06-03,"Patrol Response for Assessment","Referred",2
2017-06-03,"Patrol Response for Assessment","Service",17
2017-06-03,"Property Theft/Destruction/Lost","Online Crime Report",1
2017-06-03,"Property Theft/Destruction/Lost","Report Taken",3
2017-06-03,"Property Theft/Destruction/Lost","Service",1
2017-06-03,"Required Other Agency/Department Response","Referred",2
2017-06-03,"Suspicious Activity","Advised",1
2017-06-03,"Suspicious Activity","Cancelled by RP",2
2017-06-03,"Suspicious Activity","False Alarm",1
2017-06-03,"Suspicious Activity","Report Taken",1
2017-06-03,"Suspicious Activity","Service",5
2017-06-03,"Traffic/Major Safety","Referred",1
2017-06-03,"Traffic/Major Safety","Service",2
2017-06-03,"Traffic/Major Safety","Unable to Locate",2
2017-06-03,"Traffic/Minor Vehicle Violations or Issues","Service",3
2017-06-03,"Traffic/Minor Vehicle Violations or Issues","Unable to Locate",1
2017-06-03,"Traffic/Minor Vehicle Violations or Issues","Unfounded",1
2017-06-03,"Violent Crime/Abuse or Neglect/Public Safety","Advised",1
2017-06-03,"Violent Crime/Abuse or Neglect/Public Safety","Report Taken",2
2017-06-03,"Violent Crime/Abuse or Neglect/Public Safety","Service",6
2017-06-03,"Violent Crime/Abuse or Neglect/Public Safety","Unable to Locate",2
2017-06-04,"Documentation Only/Miscellaneous","Service",2
2017-06-04,"Drug/Alcohol","Service",1
2017-06-04,"Mental Health/Welfare","Report Taken",2
2017-06-04,"Mental Health/Welfare","Service",1
2017-06-04,"Mental Health/Welfare","Unable to Locate",4
2017-06-04,"Nuisance/Code Enforcement","Advised",1
2017-06-04,"Nuisance/Code Enforcement","Cancelled by RP",1
2017-06-04,"Nuisance/Code Enforcement","Cited",1
2017-06-04,"Nuisance/Code Enforcement","Service",6
2017-06-04,"Nuisance/Code Enforcement","Unable to Locate",1
2017-06-04,"Nuisance/Code Enforcement","Unfounded",1
2017-06-04,"Officer-Initiated Contact","Advised",5
2017-06-04,"Officer-Initiated Contact","Cited",3
2017-06-04,"Officer-Initiated Contact","Service",5
2017-06-04,"Patrol Response for Assessment","Advised",3
2017-06-04,"Patrol Response for Assessment","Cancelled by RP",8
2017-06-04,"Patrol Response for Assessment","Referred",1
2017-06-04,"Patrol Response for Assessment","Service",17
2017-06-04,"Patrol Response for Assessment","Unable to Locate",3
2017-06-04,"Property Theft/Destruction/Lost","Service",1
2017-06-04,"Property Theft/Destruction/Lost","Unfounded",1
2017-06-04,"Required Other Agency/Department Response","Referred",2
2017-06-04,"Required Other Agency/Department Response","Service",1
2017-06-04,"Suspicious Activity","Arrest Made",1
2017-06-04,"Suspicious Activity","Cancelled by RP",1
2017-06-04,"Suspicious Activity","False Alarm",3
2017-06-04,"Suspicious Activity","Service",5
2017-06-04,"Suspicious Activity","Unable to Locate",1
