date,code,sex,dob,race_ethnicity,adult_juv
11/11/18,O/W-Warrant,F,2/26/88,H,adult
1/7/19,O/W-Warrant,M,6/2/74,H,adult
1/19/19,O/W-Warrant,M,4/29/85,W,adult
2/8/19,O/W-Warrant,M,2/11/95,W,adult
2/15/19,O/W-Warrant,F,6/5/52,H,adult
3/13/19,O/W-Warrant,M,11/26/69,H,adult
5/9/19,O/W-Warrant,M,11/21/91,W,adult
6/16/19,O/W-Warrant,M,8/14/68,B,adult
8/24/19,O/W-Warrant,M,4/27/89,W,adult
8/26/19,O/W-Warrant,M,9/20/80,W,adult
9/1/19,O/W-Warrant,M,12/31/93,W,adult
1/4/20,O/W-Warrant,F,2/8/90,H,adult
1/28/20,O/W-Warrant,M,1/7/63,W,adult
2/11/20,O/W-Warrant,F,6/5/52,H,adult
2/18/20,O/W-Warrant,F,8/19/56,W,adult
3/25/20,O/W-Warrant,M,1/6/77,W,adult
4/2/20,O/W-Warrant,M,1/7/63,W,adult
4/2/20,O/W-Warrant,M,3/30/81,H,adult
2/15/16,,F,4/2/99,W,adult
